PstId|PhoId|StiBezeichnungS|StiSynonymS
7067|87669|Kunglig Vintage|
7068|87669|Föremålsbild|
7069|87670|Blixtlås|Dragkedja
7070|87670|Detalj|Närbild Detaljer
7071|87670|Röd|Rött Röda
7072|87670|Kunglig Vintage|
7073|87671|Detalj|Närbild Detaljer
7074|87671|Ros|Rosor Blomma
7075|87671|Siden|
7076|87671|Röd|Rött Röda
7077|87671|Drapering|Draperingar Draperad
7078|87671|Kunglig Vintage|
7079|87672|Klänning|Klänningar Kläder Dräkter
7080|87672|Drapering|Draperingar Draperad
7081|87672|1950-tal|
7082|87672|Ljusgrönt|Gröna
7083|87672|Margaretha Ambler|
7084|87672|Föremålsbild|
7085|87672|Kunglig Vintage|
7086|87673|Aftonklänning|Långklänning Dräkter Kläder Aftonklänningar
7087|87673|Ljusgrönt|Gröna
7088|87673|Draperad|Draperingar
7089|87673|Margaretha Ambler|
7090|87673|1950-tal|
7091|87673|Föremålsbild|
7092|87673|Kunglig Vintage|
7093|87674|Klänningstyg|Textilier
7094|87674|Chiffong|
7095|87674|Detalj|Närbild Detaljer
7096|87674|Kunglig Vintage|
7097|87674|Föremålsbild|
7098|87675|Långklänning|Långklänningar Dräkter Kläder
7099|87675|Chiffong|
7100|87675|1960-tal|
7102|87675|Kunglig Vintage|
7103|87675|Föremålsbild|
7104|87676|Långklänning|Långklänningar Dräkter Kläder
7105|87676|Rosa|Skära Skärt
7106|87676|1960-tal|
7107|87676|Margaretha Ambler|
7108|87676|Kunglig Vintage|
7109|87677|Blixtlås|Dragkedja
7110|87677|Detalj|Närbild Detaljer
7111|87677|Rosa|Skära Skärt
7112|87677|Kunglig Vintage|
7113|87677|Skärning|Skärningar
7114|87677|Föremålsbild|
7116|87678|Blommigt|Blommönster Blommönstrat Blommor
7117|87678|Chiffong|
7118|87678|1960-tal|
7119|87678|Margaretha Ambler|
7120|87678|Kunglig Vintage|
7121|87678|Föremålsbild|
7122|87678|Långklänning|Långklänningar Dräkter Kläder
7123|87679|Urringningar|
7124|87679|Blommigt|Blommönster Blommönstrat Blommor
7125|87679|1960-tal|
7126|87679|Margaretha Ambler|
7127|87679|Kunglig Vintage|
7128|87679|Klänning|Klänningar Kläder Dräkter
7129|87679|Föremålsbild|
7130|87680|Detalj|Närbild Detaljer
7131|87680|Chiffong|
7132|87680|Klänningstyg|Textilier
7133|87680|Föremålsbild|
7134|87680|Kunglig Vintage|
7135|87681|Klänning|Klänningar Kläder Dräkter
7136|87681|Ljusblått|Ljusblåa
7137|87681|1960-tal|
7138|87681|Brokad|Brokader
7139|87681|Margaretha Ambler|
7140|87681|Kunglig Vintage|
7141|87681|Föremålsbild|
7142|87682|Långklänning|Långklänningar Dräkter Kläder
7143|87682|Brokad|Brokader
7144|87682|Ljusblått|Ljusblåa
7145|87682|Kunglig Vintage|
7146|87682|1960-tal|
7147|87682|Margaretha Ambler|
7148|87682|Föremålsbild|
7149|87683|Detalj|Närbild Detaljer
7150|87683|Brokad|Brokader
7151|87683|Klänningstyg|Textilier
7152|87683|Kunglig Vintage|
7153|87683|Föremålsbild|
7154|87684|Detalj|Närbild Detaljer
7155|87684|Brokad|Brokader
7156|87684|Blåa|Blått
7157|87684|Blått|Blåa
7158|87684|Märke|Logotyp Logga Märken
7159|87684|Märthaskolan|
7160|87684|Kunglig Vintage|
7161|87684|Föremålsbild|
