ErgId|ErgKurztitelS|ErgArtS|EroObjId
1967|Magnus Fredrik Ferdinand Björnstjernas tid som minister i London||46752;51781;51782;51783;51784;51785;51786;51787;51788;51789;51790;51791;51792
1980|Gustaf V:s död och begravning|sv:Gustaf_V|51596;51504;51643;51644;51645;51646;51647;51648;51649;51650;51651;51652;51653;51654;51655;51656;51657;51658;51659;51660;51661;51662;51663;51669;51670;51671;51672;51673;51674;51675;51676;51677;51678;51679;51680;51681;51682;51683;51684;51685;51686;51689
1981|Georg VI:s och Elisabeths kröning|sv:Georg_VI|51598;63984;63985
2074|Stormningen av Silistria||40160
2075|Stormningen av Ismail||40160
2171|Brita Karlsdotter Gyllenstierna af Lundholm och friherre Georg Fleetwoods bröllop||54142
2174|Tornerspelet på Ekolsund 1776||51329;51330;51331;51332;51333;51334;51335;57999;66177;66183;65798;54442;62780;65793;65794;65795;65796;65797;62782;66411;66443;65867;65868;65869;65870;65871;58224;62784;48207;62781;61982;61981;56466;65741;65743;65735;68172;57242;57214
2186|Prinsessan Desirées bröllop med friherre Niclas Silfverskiöld|sv:Prinsessan_Désirée|51621;51622;57090;57091;47627;48446;47626;48382;48383
2195|Internationellt scoutläger, Rover Moot||49430
2243|Belägringen av Paris 1870||69874;69875;69876;69877;69878;69879;69880;69881;69882
2259|Gustaf V på Ornö Jaktklubb||62679;62483;62484;62485;62486;62487;62488;62489;62490;62491;62492;62680;62681;62682;62683;62684;62685;62686;62687
2298|Karl XI:s myndighetsförklaring|sv:Karl_XI|56540;42881;53711;42952;40097;40173;54115;54116;54117;54118;54119;67442;67443;67446;67447;67448;67449;40687
2320|Karl XIII:s död och begravning|sv:Karl_XIII|56373;68093;37798
2324|Olympiska spelen i London 1908|sv:Olympiska_sommarspelen_1908|53147
2358|Kapitulationen i Tönningen|sv:Kapitulationen_i_Tönningen|33446
2372|Intåget i Leipzig||24752
2373|Prins Wilhelms bröllop med Maria Pavlovna|sv:Prins_Wilhelm,_hertig_av_Södermanland|55617;55618;39195
2378|Gustaf VI Adolf och Margaretas bröllop|sv:Gustaf_VI_Adolf|55612;55613;55660;55663
2380|Slaget vid Wittstock|sv:Slaget_vid_Wittstock|24608
2382|Slaget vid Femern|sv:Slaget_vid_Femern|28409;28248;22941
2392|Linköpings blodbad|sv:Linköpings_blodbad|32937
2393|Statsvälvningen 1809|sv:Statsvälvningen_1809|33448;46458
2403|Armfelts norska fälttåg|sv:Carl_Gustaf_Armfeldt_d.ä.|43053
2417|S:t Barthelemy ?||69756;69757
2422|Arktiska expeditioner av Torell och Nordenskjöld||62869
2424|Dop i familjen Pereswetoff-Morath ?||70212;70213
2440|Prinsessan Astrids bröllop med Leopold III av Belgien|sv:Astrid_av_Sverige|68642;69552
2447|Kungl. Svea Livgardes 400-årsjubileumsfest||8763
2450|Wilhelmina Kempe och Walther von Hallwyls lysning|sv:Wilhelmina_von_Hallwyl|13825
2452|Världsutställningen i Paris 1900||16699
2456|Konserthusets invigning 1926||13324
2459|Drottning Wilhelminas av Nederländernas tjugofemåriga regering.|sv:Wilhelmina_av_Nederländerna|13459
2464|Slaget vid Yungai||37526
2466|Gustav III:s riddarspel 1785||58003;65619;66612;66613;66614;66615;66616;66618;66620;66621;66622;66623;66624;66625;66957;62834;62835;62836;62837
2469|Slaget vid Hogland|sv:Slaget_vid_Hogland|55508;55509;55510;55511;57226;57395;62118;37759
2641|Gustaf V som barn ?||58183;58184
2689|Krigsbyte från Prag||36909
2708|Gustav II Adolfs begravning|sv:Gustav_II_Adolf|56499;56500;56501;56502;56504;56505;56506;56507;56508;56509;56510;56511;56512;56513;56514;56515;56516;56517;56518;56519;56520;56521;56527;58205;61716;61717;61718;61719;61720;61721
2735|Greve Totts ambassad till Polen||57014
2862|Drottning Sofias kröning|sv:Drottning_Sofia|70491;70490
2864|Drottning Josefinas kröning|sv:Josefina_av_Leuchtenberg|70411
2885|Gustav III:s begravning|sv:Gustav_III|62282;62283;60465;60466;60467;60468;60469;60470;60471;60472;62284;62285;62286;37776;20357
3087|Carl XVI Gustafs dop||52980
3091|Tortyrinstrument från Tyskland ?||65325;65326;65327;65329;65330;65331;65332;62417;62418;62419;62420;62421;62422;62423
3115|Begravning ?||56223;56224;56225
3117|Prinsessan Eugeniés begravning|sv:Prinsessan_Eugénie_av_Sverige_och_Norge|47000;47336
3119|Karl XV:s död och begravning|sv:Karl_XV|47342;47343;47344;47345;47346;47347;67735
3130|Gustav III:s karusell|sv:Gustav_III|56466
3133|Storhertigen Fredrik I av Badens jubileum|sv:Fredrik_I_av_Baden|55616
3156|Kolonin Nya Sveriges 300-årsjubileum|sv:Nya_Sverige|38210
3173|Gustav IV Adolfs dop|sv:Gustav_IV_Adolf|64405;64406;64407;64408;64409;64598;64599;64604;64605;21639;49097;49098;49099;32906;63281;64402;64403;64610;64497;64602;64600;64609;64404;65395;64631;56305;57309;58377;68501;55801;63884;63885;63890;63891
3210|Ulrika Eleonora dy:s begravning|sv:Ulrika_Eleonora_d.y.|37770
3336|Batalajplan över Nerwinde ?||31868;31865
3342|Slaget vid Markstedt||31965
3346|Erövringen av Erzerum, Turkiet||35352
3360|Karl IX:s kröning|sv:Karl_IX|36457;36458;36462;36697;36464;36465;36698;36463;36459;35652
3361|Värdskap på Stockholms slott 1692||36464
3364|Drottning Elisabeth II:s kröning|sv:Elizabeth_II|36520
3377|Johan III:s bröllop|sv:Johan_III|36483
3379|Sigismund I:s bröllop med Konstantia av Österrike|sv:Sigismund_I|62699;42965;69088;69089;69090;69091;69092;69093
3382|Gustav II Adolf och Maria Eleonoras bröllop|sv:Gustav_II_Adolf|67895;67894;67896;46025;46026;46027;46028;46029;46030;45168;42629;42632;42635;42639;42641;42643;42645;42647;42649;61709;61711;42631;42634;42638;42642;42644;42646;42648;42650;42651;42630;42633;49136;45167;59527;59528;42652;42653;42654;42655;45437;58975;61706;61707;61708;61710;41794;40603;41882;41884;41886;41888;41889;41890;60122;59800;58684;59288;58973;61716;61719;61720;61721;58205;66389;67832;66388;57265;41793;41878;41879;41894;42609;42656;43965;45438;45439;45440;58972;61712;61713;68028;56378;56377;62169;62170;68494;66385;66387;60025;60028;60030;60033;60022;60023;60024;60026;60027;60029;60031;60032;56962;61717;61718
3384|Karl XI:s bröllop med Ulrika Eleonora av Danmark|sv:Karl_XI|37690;56314;42622;42623;42624;42625;42626;42627;45422;56488;53712;53713;53714;54095;67819;56015;58031;55581;55582
3386|Kronprins Adolf Fredrik bröllop i Stockholm|sv:Adolf_Fredrik|39015
3387|Gustav III och Sofia Magdalenas bröllop|sv:Gustav_III|55497;63882;63883;67848;67849;67850;62593;57457;57879;62594;62595;37667;52168;56924;69918;69919;69920;69921;69922;69923;69924;69925;69926;69927;69928;69929;69930;69931;69932
