AusId|AusTitelS|AusOrtS|std_year|AusJahrS|AusDatumVonD|AusDatumBisD|AufAufgabeS|AobObjId
820|Silverskatter från svensk stormaktstid (Nationalmuseum och stiftelsen Läckö Slott)|Läckö Slott|2002|2002|||Hallwylska museet|15909;16194;16426;16494;16535;16633;16817;16821;17046;17068;17071;17077;17079;17083;16273;16671;16970;16161;16653;16943;17229;16415;16425;16537;16867;17076
821|Silver, makt och prakt i barockens Sverige|Nationalmuseum, Stockholm|2003|2003|||Hallwylska museet|15909;16426;16494;16633;17046;17068;17071;17083;16273;16671;16970;17077;16943;16867
822|Kungagåvor till folket|Läckö slott|2009|2009|||Allmänt|21060
823|Slaget vid Rilax 1714 (april 2014-april 2015)|Hangö museum, Finland, och Forum Marinum, Åbo|2014-2015|2014|2014-04-01 00:00:00|2015-04-30 00:00:00|Allmänt|60996
824|”Romanov: the beginning of the dynasty. To the 400th anniversary of the election of Tsar Michail Fedorovich Romanov”, 2013|State Historical Museum, Moskva|2013|2013|2013-03-19 00:00:00|2013-06-30 00:00:00|Allmänt|43359
825|Historiska juveler|Nationalmuseum, Stockholm|2000|2000|2000-06-08 00:00:00|2000-10-15 00:00:00|Hallwylska museet|17204;17208;18697;18698
826|Drömmen om Italien|Nationalmuseum, Stockholm|2004-2005|2004|2004-10-14 00:00:00|2005-01-16 00:00:00|Hallwylska museet|7607
827|Eleganz und raue Sitten (Elegance and uncouth manners - arb.namn)|Suermondt-Ludwig-Museum, Aachen, och Gemäldegalerie Staatliche Museen zu Berlin|2012|2012|2012-03-15 00:00:00|2012-10-02 00:00:00|Allmänt|14120
828|Riddarvapen från Sonnenburg|Statens Historiska Museum, Stockholm|1991|1991|||Hallwylska museet|18391
829|Modelejon|Livrustkammaren, Stockholm|2002|2002|||Hallwylska museet|16196;16391;16575;16741;16759;16956;17107;17342;14121
830|Konstindustriutställningen i Arvfurstens palats|Stockholm|1876-1877|1876-1877|||Hallwylska museet|16761;16980;17113
831|Kungligt klädd|Livrustkammaren, Stockholm|1987-1989|1987-1989|||Hallwylska museet|16575
