OmuId|OmuObjId|OmuTypS|OmuBemerkungM|OmuInhalt01M|ObjInventarNrS|ObjAufId|AufAufgabeS
68648|8147|Tillverkningsort||Stockholm|XXI:I:A.04.|174|Hallwylska museet
68653|8147|Tillverkningsland||Sverige|XXI:I:A.04.|174|Hallwylska museet
69027|8192|Tillverkningsland||Sverige|S.XXIII:III:K.24.|174|Hallwylska museet
69043|8194|Tillverkningsland||Sverige|S.XXIII:III:K.12.|174|Hallwylska museet
69804|8246|Tillverkningsort||Stockholm|XXI:I:A.03.|174|Hallwylska museet
69810|8246|Tillverkningsland||Sverige|XXI:I:A.03.|174|Hallwylska museet
69823|8248|Tillverkningsort||Stockholm|XXI:I:A.09.|174|Hallwylska museet
69828|8248|Tillverkningsland||Sverige|XXI:I:A.09.|174|Hallwylska museet
69832|8249|Tillverkningsort||Stockholm|XXI:I:A.08.|174|Hallwylska museet
69837|8249|Tillverkningsland||Sverige|XXI:I:A.08.|174|Hallwylska museet
69841|8250|Tillverkningsort||Stockholm|XXI:I:A.06.|174|Hallwylska museet
69846|8250|Tillverkningsland||Sverige|XXI:I:A.06.|174|Hallwylska museet
69850|8251|Tillverkningsort||Stockholm|XXI:I:A.02.|174|Hallwylska museet
69856|8251|Tillverkningsland||Sverige|XXI:I:A.02.|174|Hallwylska museet
70089|8280|Tillverkningsland||Sverige|S.XXIII:III:A.14.|174|Hallwylska museet
70570|8301|Tillverkningsort||Berlin|XXI:I:A.01.|174|Hallwylska museet
70575|8301|Tillverkningsland||Tyskland|XXI:I:A.01.|174|Hallwylska museet
70710|8318|Tillverkningsland||Sverige|S.XXIII:III:E.05./a|174|Hallwylska museet
71170|8397|Tillverkningsort||Dayton, Ohio|III:I:G.e.01.|174|Hallwylska museet
71175|8397|Tillverkningsland||USA|III:I:G.e.01.|174|Hallwylska museet
74238|8453|Tillverkningsland||Sverige|S.LXIII:I:I.d.48.|174|Hallwylska museet
74326|8464|Tillverkningsort||Stockholm|III:I:C.jj.02.|174|Hallwylska museet
74331|8464|Tillverkningsland||Sverige|III:I:C.jj.02.|174|Hallwylska museet
74437|8775|Tillverkningsland||Tyskland|III:I:E.c.01.|174|Hallwylska museet
79451|9430|Tillverkningsland||Italien|LXVI:B.05.|174|Hallwylska museet
79475|9447|Tillverkningsland||Italien|LXVI:B.09.|174|Hallwylska museet
79500|9450|Tillverkningsland||Italien|LXVI:B.12.|174|Hallwylska museet
85501|10371|Tillverkningsort||Stockholm|LXIV:III.B.b.e.20.|174|Hallwylska museet
85506|10371|Tillverkningsland||Sverige|LXIV:III.B.b.e.20.|174|Hallwylska museet
85796|10407|Tillverkningsort||Stockholm|LXIV:III:B.b.e.42.|174|Hallwylska museet
85801|10407|Tillverkningsland||Sverige|LXIV:III:B.b.e.42.|174|Hallwylska museet
85921|10422|Tillverkningsort||Stockholm|LXIV:III:B.b.e.33.|174|Hallwylska museet
85926|10422|Tillverkningsland||Sverige|LXIV:III:B.b.e.33.|174|Hallwylska museet
87173|10439|Tillverkningsort||Stockholm|LXIV:III:B.b.e.01.|174|Hallwylska museet
87178|10439|Tillverkningsland||Sverige|LXIV:III:B.b.e.01.|174|Hallwylska museet
87182|10440|Tillverkningsland||Sverige|S.LXIV:III:B.b.i.03.|174|Hallwylska museet
87865|10464|Tillverkningsort||Stockholm|III:I:I.e.05.|174|Hallwylska museet
87870|10464|Tillverkningsland||Sverige|III:I:I.e.05.|174|Hallwylska museet
87944|10283|Tillverkningsort||Stockholm|III:I:F.a.03.|174|Hallwylska museet
87949|10283|Tillverkningsland||Sverige|III:I:F.a.03.|174|Hallwylska museet
92762|11065|Tillverkningsland||Tyskland|III:I:D.n.01.|174|Hallwylska museet
94694|11125|Tillverkningsort||Philadelphia|III:I:C.n.04.|174|Hallwylska museet
94699|11125|Tillverkningsland||USA|III:I:C.n.04.|174|Hallwylska museet
94835|11141|Tillverkningsland||Sverige|III:I:C.j.01.|174|Hallwylska museet
94909|11150|Tillverkningsland||Tyskland|III:I:C.g.01.|174|Hallwylska museet
96343|11494|Tillverkningsland||Spanien|XLVI:X:B.a.01.|174|Hallwylska museet
96351|11495|Tillverkningsort||Stralsund|XLVI:XI:F.a.01.|174|Hallwylska museet
96356|11495|Tillverkningsland||Sverige|XLVI:XI:F.a.01.|174|Hallwylska museet
96361|11496|Tillverkningsort||Rörstrand|XLVI:XI:E.o.05.|174|Hallwylska museet
96366|11496|Tillverkningsland||Sverige|XLVI:XI:E.o.05.|174|Hallwylska museet
96371|11497|Tillverkningsland||Italien|XLVI:VI:D.a.01.|174|Hallwylska museet
96379|11498|Tillverkningsland||Italien|XLVI:VI:D.a.02.|174|Hallwylska museet
96387|11499|Tillverkningsland||Italien|XLVI:VI:D.b.03.|174|Hallwylska museet
96395|11500|Tillverkningsland||Italien|XLVI:VI:D.b.02.|174|Hallwylska museet
96404|11501|Tillverkningsland||Italien|XLVI:VI:D.b.01.|174|Hallwylska museet
96412|11502|Tillverkningsland||Holland|XLVI:V:G.a.01.|174|Hallwylska museet
96421|11503|Tillverkningsort||Savona|XLVI:VI:B.a.02.|174|Hallwylska museet
96426|11503|Tillverkningsland||Italien|XLVI:VI:B.a.02.|174|Hallwylska museet
96431|11504|Tillverkningsort||Herreböe|XLVI:VII:A.a.01.|174|Hallwylska museet
96436|11504|Tillverkningsland||Norge|XLVI:VII:A.a.01.|174|Hallwylska museet
96441|11505|Tillverkningsland||Holland|XLVI:V:G.b.01.|174|Hallwylska museet
96450|11506|Tillverkningsland||Italien|XLVI:VI:D.b.04.|174|Hallwylska museet
96458|11507|Tillverkningsland||Holland|XLVI:V:G.c.01.|174|Hallwylska museet
96466|11508|Tillverkningsort||Marseille|XLVI:IV:B.a.01.|174|Hallwylska museet
96471|11508|Tillverkningsland||Frankrike|XLVI:IV:B.a.01.|174|Hallwylska museet
96476|11509|Tillverkningsland||Italien|XLVI:VI:D.b.05.|174|Hallwylska museet
96484|11510|Tillverkningsort||Savona|XLVI:VI:B.a.03.|174|Hallwylska museet
96489|11510|Tillverkningsland||Italien|XLVI:VI:B.a.03.|174|Hallwylska museet
96494|11511|Tillverkningsort||Rörstrand|XLVI:XI:E.o.03.|174|Hallwylska museet
96499|11511|Tillverkningsland||Sverige|XLVI:XI:E.o.03.|174|Hallwylska museet
96512|11513|Tillverkningsort||Rörstrand|XLVI:XI:E.l.01.|174|Hallwylska museet
96517|11513|Tillverkningsland||Sverige|XLVI:XI:E.l.01.|174|Hallwylska museet
96522|11514|Tillverkningsort||Rörstrand|XLVI:XI:E.c.01.|174|Hallwylska museet
96527|11514|Tillverkningsland||Sverige|XLVI:XI:E.c.01.|174|Hallwylska museet
96559|11518|Tillverkningsort||Rouen|XLVI:IV:E.b.01.|174|Hallwylska museet
96564|11518|Tillverkningsland||Frankrike|XLVI:IV:E.b.01.|174|Hallwylska museet
96569|11519|Tillverkningsort||Gustavsberg|XLVI:XI:A.e.01.|174|Hallwylska museet
96574|11519|Tillverkningsland||Sverige|XLVI:XI:A.e.01.|174|Hallwylska museet
96579|11520|Tillverkningsort||Rörstrand|XLVI:XI:E.e.01.|174|Hallwylska museet
96584|11520|Tillverkningsland||Sverige|XLVI:XI:E.e.01.|174|Hallwylska museet
96589|11521|Tillverkningsland||Italien|XLVI:VI:D.a.04.|174|Hallwylska museet
96598|11522|Tillverkningsort||Savona|XLVI:VI:B.a.01.|174|Hallwylska museet
96603|11522|Tillverkningsland||Italien|XLVI:VI:B.a.01.|174|Hallwylska museet
96608|11523|Tillverkningsort||Marieberg|XLVI:XI:C.b.01.|174|Hallwylska museet
96613|11523|Tillverkningsland||Sverige|XLVI:XI:C.b.01.|174|Hallwylska museet
96618|11524|Tillverkningsort||Winterthur|XLVI:IX:C.a.01.|174|Hallwylska museet
96623|11524|Tillverkningsland||Schweiz|XLVI:IX:C.a.01.|174|Hallwylska museet
96627|11525|Tillverkningsort||Rörstrand|XLVI:XI:E.l.03.|174|Hallwylska museet
96632|11525|Tillverkningsland||Sverige|XLVI:XI:E.l.03.|174|Hallwylska museet
96637|11526|Tillverkningsort||Rörstrand|XLVI:XI:E.b.01.|174|Hallwylska museet
96642|11526|Tillverkningsland||Sverige|XLVI:XI:E.b.01.|174|Hallwylska museet
96655|11528|Tillverkningsort||Rörstrand|XLVI:XI:E.g.03.|174|Hallwylska museet
96660|11528|Tillverkningsland||Sverige|XLVI:XI:E.g.03.|174|Hallwylska museet
96665|11529|Tillverkningsort||Marieberg|XLVI:XI:C.c.01.|174|Hallwylska museet
96670|11529|Tillverkningsland||Sverige|XLVI:XI:C.c.01.|174|Hallwylska museet
96675|11530|Tillverkningsort||Pålsjö|XLVI:XI:D.a.01.|174|Hallwylska museet
96680|11530|Tillverkningsland||Sverige|XLVI:XI:D.a.01.|174|Hallwylska museet
96685|11338|Tillverkningsort||Marieberg|XLVI:XI:C.a.01.|174|Hallwylska museet
96690|11338|Tillverkningsland||Sverige|XLVI:XI:C.a.01.|174|Hallwylska museet
96695|11339|Tillverkningsort||Rörstrand|XLVI:XI:E.m.01.|174|Hallwylska museet
96700|11339|Tillverkningsland||Sverige|XLVI:XI:E.m.01.|174|Hallwylska museet
96705|11340|Tillverkningsland||Italien|XLVI:VI:D.a.03.|174|Hallwylska museet
96713|11341|Tillverkningsland||Italien|XLVI:VI:D.a.05.|174|Hallwylska museet
96721|11342|Tillverkningsort||Neapel|XLVI:VI:A.a.01.|174|Hallwylska museet
96726|11342|Tillverkningsland||Italien|XLVI:VI:A.a.01.|174|Hallwylska museet
96731|11343|Tillverkningsort||Rörstrand|XLVI:XI:E.i.01.|174|Hallwylska museet
96736|11343|Tillverkningsland||Sverige|XLVI:XI:E.i.01.|174|Hallwylska museet
96741|11344|Tillverkningsort||Delft|XLVI:V:E.e.01.|174|Hallwylska museet
96746|11344|Tillverkningsland||Holland|XLVI:V:E.e.01.|174|Hallwylska museet
96751|11345|Tillverkningsort||Hubertusburg|XLVI:XIII:E.a.01.|174|Hallwylska museet
96756|11345|Tillverkningsland||Tyskland|XLVI:XIII:E.a.01.|174|Hallwylska museet
