<!--From: Ereignis_1.1.csv -->
''wikipedia-link'' are used for descriptive texts whereas ''commonsconnection'' is a relevant category on commons.

Set commonsconnection of irrelevant events to "-"

Multiple categories are separated by ";"

*död/begravning: [[:Category:Funeral of X of Sweden]]
*kröning: [[:Category:Coronation of X of Sweden]]
*bröllop:[[:Category:Wedding of X and Y of Sweden]]
===Event|Frequency|wikipedia-link|Commonsconnection===
*Statsvälvningen 1809|2|[[:sv:Statsvälvningen 1809]]|
*Gustaf V:s 90-årsdag|2|[[:sv:Gustaf V]]|
*Ulrika Eleonora dy:s kröning|2|[[:sv:Ulrika Eleonora d.y.]]|
*Slaget vid Brunnbäcks färja|2|[[:sv:Slaget vid Brunnbäcks färja]]|
*Gustav IV Adolfs död och begravning|2|[[:sv:Gustav IV Adolf]]|
*Gustaf V som barn ?|2||
*Gustav II Adolf, audiens i Uppsala|2|[[:sv:Gustav II adolf]]|
*Värdshuset Vita hästen, S:t Gallen ?|2||
*Krigsbyte från Tyskland (se Wr teol.8 4:o)|2||[[:Category:War trophies seized from Germany by Sweden]]
*Oscar II:s 25-åriga jubileum som regent|2|[[:sv:Oscar II]]|
*S:t Barthelemy ?|2||
*Träffningen vid Björkösund|2||
*Batalajplan över Nerwinde ?|2||
*Krigsbyte från Tyskland, Bayern (?)|2||[[:Category:War trophies seized from Germany by Sweden]]
*300-årsminnet av Gustaf II Adolfs födelse 1894|2||
*Fransk-tyska kriget 1870 - 1871|2|[[:sv:Fransk-tyska kriget]]|
*Krigsbyte från Prag|2||[[:Category:War trophies seized by Sweden]]
*Dop i familjen Pereswetoff-Morath ?|2||
*Träffningen vid Gigelly|2||
*Krigsbyte från Danmark, Nakskov (1658)|2||[[:Category:War trophies seized from Denmark by Sweden]]
*Prinsessan Eugeniés begravning|2|[[:sv:Prinsessan Eugénie av Sverige och Norge]]|
*Slottsbranden 1648|2||
*Slaget vid Dennewitz|2|[[:sv:Slaget vid Dennewitz]]|
*Prinsessan Madeleines dop|2|[[:sv:Prinsessan Madeleine]]|
*Finska kriget 1808 - 1809|2|[[:sv:Finska kriget]]|
