<!--From: Ausstellung_1.1.csv - col: ausOrt-->
Set commonsconnection of irrelevant places to "-"

Multiple entries are separated by ";"
===Place|Frequency|Commonsconnection===
*Tyskland, Kassel|4|{{city{{!}}Kassel}}
*Tjeckien, Cesky Tesin|4|
*Sverige, Vira bruk|4|{{city{{!}}Vira bruk}}
*Sverige, Söderhamn|4|{{city{{!}}Söderhamn}}
*Sverige, Kassmyra|4|
*Strasbourg|4|{{city{{!}}Strasbourg}}
*Stralsund|4|{{city{{!}}Stralsund}}
*Spanien, Madrid|4|{{city{{!}}Madrid}}
*Ryssland, Tula|4|{{city{{!}}Tula}}
*Rouen|4|{{city{{!}}Rouen}}
*Reval|4|{{city{{!}}Reval}}
*Polen, Cieszyn|4|{{city{{!}}Cieszyn}}
*Norrköping|4|{{city{{!}}Norrköping}}
*Niderviller|4|{{city{{!}}Niderviller}}
*Nederländerna, Maastricht|4|{{city{{!}}Maastricht}}
*Höchst|4|
*Hanley|4|
*Chamberlains fabrik, Worcester|4|Chamberlains fabrik, {{city{{!}}Worcester}}
*Capo di Monte|4|
*Vincennes|3|{{city{{!}}Vincennes}}
*Ulfsunda|3|
*Tyskland, München|3|{{city{{!}}München}}
*Tyskland, Karlsruhe|3|{{city{{!}}Karlsruhe}}
*Tournay|3|{{city{{!}}Tournay}}
*Tekke|3|
*Sverige, Örebro|3|{{city{{!}}Örebro}}
*Sverige, Garpströms bruk|3|
*Storbritannien, Birmingham|3|{{city{{!}}Birmingham}}
*Senneh|3|
*Schlaggenwald, Böhmen|3|Schlaggenwald, {{city{{!}}Böhmen}}
*Paris, Rue de Chevreuse|3|{{city{{!}}Paris}}, Rue de Chevreuse
*Paris, Boulevard des Italiens|3|Paris, {{city{{!}}Boulevard des Italiens}}
*London|3|{{city{{!}}London}}
*Korzec|3|
*Frankrike, Pars|3|{{city{{!}}Pars}}
*Frankrike, Faux|3|
*Egypten, Kairo|3|{{city{{!}}Kairo}}
*Davis fabrik, Worcester|3|{{city{{!}}Worcester}}
*Bing & Gröndahls Porslinsfabrik, Köpenhamn|3|Bing & Gröndahls Porslinsfabrik, {{city{{!}}Köpenhamn}}
*Vevey|2|{{city{{!}}Vevey}}
*Urbino|2|{{city{{!}}Urbino}}
*Tyskland, Zella|2|
*Tyskland, Stuttgart|2|{{city{{!}}Stuttgart}}
*Tyskland, Schwerin|2|{{city{{!}}Schwerin}}
*Sölvesborg|2|{{city{{!}}Sölvesborg}}
*Sverige, Ödestugu|2|
*Stockholm; Landskrona|2|{{city{{!}}Stockholm}};{{city{{!}}Landskrona}}
*S:t Eriks Lervarufabriker, Uppsala|2|{{city{{!}}Uppsala}}
*Pålsjö|2|
*Pirkhammer, Böhmen|2|{{city{{!}}Böhmen}}
*Philadelphia|2|{{city{{!}}Philadelphia}}
*Persien (Iran), Isfahan|2|{{city{{!}}Isfahan}}
*Paris; London|2|{{city{{!}}Paris}};{{city{{!}}London}}
*Paris, Rue d´Echelle "Petit Carrousel"|2|{{city{{!}}Paris}}, Rue d´Echelle "Petit Carrousel"
*Paris, Rue de Temple|2|{{city{{!}}Paris}}, Rue de Temple
*Oude - Loosdrecht|2|
*Nürnberg|2|{{city{{!}}Nürnberg}}
*Nymphenburg|2|{{city{{!}}Nymphenburg}}
*Norge, Oslo (Christiania)|2|{{city{{!}}Oslo}} (Christiania)
*Magdeburg|2|{{city{{!}}Magdeburg}}
*Loket|2|{{city{{!}}Loket}}
*Limbach, Thüringen|2|{{city{{!}}Thüringen}}
*Lettland, Riga|2|{{city{{!}}Riga}}
*Leiden|2|{{city{{!}}Leiden}}
*Kiel|2|{{city{{!}}Kiel}}
*Karlsbad, Böhmen|2|{{city{{!}}Böhmen}}
*Herreböe|2|
*Frankrike, Klingenthal|2|{{city{{!}}Klingenthal}}
*Frankfurt an der Oder|2|
*Finland, Åbo|2|{{city{{!}}Åbo}}
*Eibar, Spanien|2|
*Danmark, Brobygaard|2|
*Damm|2|{{city{{!}}Damm}}
*Coburg|2|{{city{{!}}Coburg}}
*Buen-Retiro|2|
*Bern|2|{{city{{!}}Bern}}
*Algeriet, Alger|2|{{city{{!}}Alger}}
*Überlingen|1|{{city{{!}}Überlingen}}
*Örebro, Sverige|1|{{city{{!}}Sverige}}
*Ystad|1|{{city{{!}}Ystad}}
*Winterthur|1|{{city{{!}}Winterthur}}
*Wien, Österrike|1|{{city{{!}}Österrike}}
*Wegeholm|1|
*Waldenburg|1|
*Utrecht|1|{{city{{!}}Utrecht}}
*USA, Hartford, Connecticut|1|
*Tyskland, Solinge|1|
*Tyskland, Neustrelitz|1|{{city{{!}}Neustrelitz}}
*Tyskland, Hessen, Darmstadt|1|{{city{{!}}Hessen}}
*Tyskland, Herzberg|1|{{city{{!}}Herzberg}}
*Tyskland, Artzberg|1|
*Tyskland, Ach|1|{{city{{!}}Ach}}
*Tyskland|1|{{country{{!}}DE}}
*Toledo|1|{{city{{!}}Toledo}}
*Tjeckien, Prag|1|{{city{{!}}Prag}}
*Sverige, Stockholm, Norrbro|1|{{city{{!}}Stockholm}}
*Stockholm; Berlin|1|{{city{{!}}Stockholm}}; {{city{{!}}Berlin}}
*Stockholm, Sverige|1|{{city{{!}}Stockholm}}
*Spanien, Zaragoza|1|{{city{{!}}Zaragoza}}
*Sestroretsk (Systerbäck), Ryssland|1|
*Sestroretsk (Systerbäck) Ryssland|1|
*Schweiz, Bern|1|{{city{{!}}Bern}}
*Schretzheim|1|
*Saint-Cloud, Frankrike|1|
*Rörswil|1|
*Rostock|1|{{city{{!}}Rostock}}
*Rom|1|{{city{{!}}Rom}}
*Paris, rue de Bondy|1|{{city{{!}}Paris}}, rue de Bondy
*Paris, rue Thiroux|1|{{city{{!}}Paris}}, rue Thiroux
*Paris, rue Fontaine-au-Roy|1|{{city{{!}}Paris}}, rue Fontaine-au-Roy
